size,chunkSize,method,ticks,error?
1000,10,AtomicMethod,1600375,
1000,10,AtomicMethodInefficient,487916,
1000,10,BlockingMethod,863666,
1000,10,BlockingMethodInefficient,499125,
1000,10,SingleThreadMethod,72625,
1000,100,AtomicMethod,247083,
1000,100,AtomicMethodInefficient,251542,
1000,100,BlockingMethod,225042,
1000,100,BlockingMethodInefficient,241250,
1000,100,SingleThreadMethod,9667,
1000,500,AtomicMethod,198917,
1000,500,AtomicMethodInefficient,217083,
1000,500,BlockingMethod,256458,
1000,500,BlockingMethodInefficient,206708,
1000,500,SingleThreadMethod,8416,
10000,10,AtomicMethod,396625,
10000,10,AtomicMethodInefficient,491208,
10000,10,BlockingMethod,412042,
10000,10,BlockingMethodInefficient,471750,
10000,10,SingleThreadMethod,213959,
10000,100,AtomicMethod,234125,
10000,100,AtomicMethodInefficient,208916,
10000,100,BlockingMethod,248083,
10000,100,BlockingMethodInefficient,313792,
10000,100,SingleThreadMethod,218250,
10000,500,AtomicMethod,197000,
10000,500,AtomicMethodInefficient,241458,
10000,500,BlockingMethod,226584,
10000,500,BlockingMethodInefficient,308625,
10000,500,SingleThreadMethod,63542,
10000,1000,AtomicMethod,244334,
10000,1000,AtomicMethodInefficient,280834,
10000,1000,BlockingMethod,204375,
10000,1000,BlockingMethodInefficient,290917,
10000,1000,SingleThreadMethod,46917,
100000,10,AtomicMethod,620459,
100000,10,AtomicMethodInefficient,1432292,
100000,10,BlockingMethod,729084,
100000,10,BlockingMethodInefficient,5719792,
100000,10,SingleThreadMethod,409500,
100000,100,AtomicMethod,390916,
100000,100,AtomicMethodInefficient,1243042,
100000,100,BlockingMethod,433500,
100000,100,BlockingMethodInefficient,5707625,
100000,100,SingleThreadMethod,423083,
100000,500,AtomicMethod,401833,
100000,500,AtomicMethodInefficient,2056250,
100000,500,BlockingMethod,397625,
100000,500,BlockingMethodInefficient,6667250,
100000,500,SingleThreadMethod,410583,
100000,1000,AtomicMethod,369917,
100000,1000,AtomicMethodInefficient,1185209,
100000,1000,BlockingMethod,420667,
100000,1000,BlockingMethodInefficient,4151500,
100000,1000,SingleThreadMethod,406625,
100000,10000,AtomicMethod,400583,
100000,10000,AtomicMethodInefficient,1130125,
100000,10000,BlockingMethod,408291,
100000,10000,BlockingMethodInefficient,4777125,
100000,10000,SingleThreadMethod,409750,
1000000,10,AtomicMethod,5974625,
1000000,10,AtomicMethodInefficient,14649167,
1000000,10,BlockingMethod,5931333,
1000000,10,BlockingMethodInefficient,74429750,
1000000,10,SingleThreadMethod,4187750,
1000000,100,AtomicMethod,2621667,
1000000,100,AtomicMethodInefficient,16731334,
1000000,100,BlockingMethod,2673834,
1000000,100,BlockingMethodInefficient,79120625,
1000000,100,SingleThreadMethod,4188792,
1000000,500,AtomicMethod,2831458,
1000000,500,AtomicMethodInefficient,17155209,
1000000,500,BlockingMethod,2744959,
1000000,500,BlockingMethodInefficient,50333125,
1000000,500,SingleThreadMethod,4053917,
1000000,1000,AtomicMethod,2314333,
1000000,1000,AtomicMethodInefficient,12123875,
1000000,1000,BlockingMethod,2404959,
1000000,1000,BlockingMethodInefficient,46431000,
1000000,1000,SingleThreadMethod,4046834,
1000000,10000,AtomicMethod,2347959,
1000000,10000,AtomicMethodInefficient,11867584,
1000000,10000,BlockingMethod,2352000,
1000000,10000,BlockingMethodInefficient,47668292,
1000000,10000,SingleThreadMethod,4035458,
1000000,100000,AtomicMethod,2597250,
1000000,100000,AtomicMethodInefficient,15619083,
1000000,100000,BlockingMethod,2757458,
1000000,100000,BlockingMethodInefficient,30740417,
1000000,100000,SingleThreadMethod,4180958,
10000000,10,AtomicMethod,64280959,
10000000,10,AtomicMethodInefficient,124675959,
10000000,10,BlockingMethod,72138666,
10000000,10,BlockingMethodInefficient,618887292,
10000000,10,SingleThreadMethod,40456875,
10000000,100,AtomicMethod,23445209,
10000000,100,AtomicMethodInefficient,119243667,
10000000,100,BlockingMethod,25906000,
10000000,100,BlockingMethodInefficient,670419250,
10000000,100,SingleThreadMethod,40518292,
10000000,500,AtomicMethod,21866250,
10000000,500,AtomicMethodInefficient,120563708,
10000000,500,BlockingMethod,22242583,
10000000,500,BlockingMethodInefficient,625396458,
10000000,500,SingleThreadMethod,40465750,
10000000,1000,AtomicMethod,21778500,
10000000,1000,AtomicMethodInefficient,122074834,
10000000,1000,BlockingMethod,22033125,
10000000,1000,BlockingMethodInefficient,679820208,
10000000,1000,SingleThreadMethod,40444875,
10000000,10000,AtomicMethod,21424708,
10000000,10000,AtomicMethodInefficient,115688625,
10000000,10000,BlockingMethod,21825333,
10000000,10000,BlockingMethodInefficient,651160791,
10000000,10000,SingleThreadMethod,40450209,
10000000,100000,AtomicMethod,21345625,
10000000,100000,AtomicMethodInefficient,120697667,
10000000,100000,BlockingMethod,21833291,
10000000,100000,BlockingMethodInefficient,581908417,
10000000,100000,SingleThreadMethod,40410375,
10000000,1000000,AtomicMethod,21390917,
10000000,1000000,AtomicMethodInefficient,118807667,
10000000,1000000,BlockingMethod,21846292,
10000000,1000000,BlockingMethodInefficient,668327792,
10000000,1000000,SingleThreadMethod,40429042,
